kernel_id,bx,by,bz,nstencil_args,total_bytes,dim,elem_size,size_x,size_y,size_z,d_m_x,d_m_y,d_m_z,d_p_x,d_p_y,d_p_z,num_read,num_write,num_rw,grid_x,grid_y,grid_z,max_threads,n_args_x_offset,n_args_y_offset,n_args_z_offset,n_args_face,n_args_stride,n_args_none,max_radius_x,max_radius_y,max_radius_z,total_offset_points,total_points,ratio_xy,ratio_xz,bytes_per_point,is_2d,dominant_stencil_axis,collapse_x,collapse_y,collapse_z,is_face_access,is_high_complexity,face_low_args,face_high_args,stencil_sig,execution_time,default_time,best_time,label
46,16,16,1,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,2,2,1331000,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,2;0,0,0:0,0,2;none",6.91414e-06,6.91414e-06,9.77516e-06,1
56,1,16,16,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,2,0,0,0,0,1,2,0,0,2,1331000,1.0,1.0,16.0,0,1,1,0,0,0,0,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",6.91414e-06,6.91414e-06,9.77516e-06,1
66,1,16,16,2,20720464,1,8,109,109,109,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,2,0,0,0,0,1,2,0,0,2,1295029,1.0,1.0,16.0,0,1,1,0,0,0,0,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",6.91414e-06,6.91414e-06,9.77516e-06,1
47,64,1,1,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,4,2,1331000,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",6.91414e-06,6.91414e-06,9.77516e-06,1
58,4,64,1,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,2,2,1331000,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,2;0,0,0:0,0,2;none",6.91414e-06,6.91414e-06,9.05991e-06,1
54,1,4,64,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,2,0,0,0,0,1,2,0,0,2,1331000,1.0,1.0,16.0,0,1,1,0,0,0,0,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",6.91414e-06,6.91414e-06,9.05991e-06,1
34,16,64,1,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,2,2,1331000,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,2;0,0,0:0,0,2;none",6.91414e-06,6.91414e-06,9.77516e-06,1
69,16,32,1,2,20720464,1,8,109,109,109,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,4,2,1295029,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,4;0,0,0:0,0,4;none",6.91414e-06,6.91414e-06,9.77516e-06,1
28,32,1,8,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,2,0,0,0,1,0,2,0,2,1331000,1.0,1.0,16.0,0,2,0,1,0,0,0,0,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",6.91414e-06,6.91414e-06,1.00136e-05,1
45,64,4,1,2,21296000,1,8,110,110,110,-2,-2,-2,2,2,2,0,0,2,100,100,100,1024,0,0,2,0,0,1,0,0,4,2,1331000,1.0,1.0,16.0,0,3,0,0,1,0,0,0,0,"0,0,0:0,0,4;0,0,0:0,0,4;none",6.91414e-06,6.91414e-06,1.00136e-05,1
